genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,41.0,,117.45,8.0,0.0,0.62,0.31,0.42,0.49,0.77,0.95,0.34,58.0,0.51,58.0,0.87,Relax/Chill
,37.0,,129.2,9.0,1.0,0.54,0.32,0.43,0.79,0.76,0.96,0.31,61.0,0.46,61.0,0.92,Relax/Chill
,70.0,,126.05,10.0,1.0,0.58,0.32,0.56,0.8,0.76,0.95,0.29,25.0,0.48,25.0,0.94,Happy/Excited
,65.0,,161.5,4.0,1.0,0.63,0.33,0.49,0.81,0.75,0.95,0.28,80.0,0.37,80.0,0.89,Happy/Excited
,63.0,,92.29,9.0,1.0,0.51,0.31,0.43,0.78,0.75,0.96,0.28,44.0,0.65,44.0,0.9,Relax/Chill
pop,80.0,214973.0,132.51,8.0,0.0,0.57,0.35,0.47,0.5,0.73,0.95,0.21,64.0,0.45,64.0,0.93,Happy/Excited
pop,74.0,238143.0,147.66,9.0,1.0,0.54,0.33,0.48,0.8,0.75,0.96,0.24,70.0,0.41,70.0,0.97,Relax/Chill
pop,73.0,221573.0,92.29,9.0,1.0,0.54,0.33,0.44,0.78,0.76,0.95,0.24,45.0,0.65,45.0,0.93,Happy/Excited
,70.0,,97.51,2.0,1.0,0.52,0.31,0.46,0.78,0.77,0.96,0.31,31.0,0.62,31.0,0.94,Happy/Excited
k-pop,64.0,174933.0,120.19,11.0,1.0,0.56,0.35,0.43,0.8,0.74,0.95,0.21,53.0,0.5,53.0,0.84,Relax/Chill
k-pop,67.0,240440.0,172.27,10.0,0.0,0.55,0.36,0.61,0.51,0.74,0.93,0.2,43.0,0.35,43.0,0.96,Relax/Chill
pop,76.0,198971.0,139.67,5.0,1.0,0.5,0.36,0.48,0.8,0.75,0.94,0.19,67.0,0.43,67.0,0.94,Happy/Excited
pop,73.0,242912.0,123.05,4.0,1.0,0.66,0.34,0.44,0.78,0.75,0.96,0.24,61.0,0.49,61.0,0.9,Happy/Excited
pop,71.0,290289.0,126.05,0.0,0.0,0.58,0.36,0.46,0.5,0.75,0.94,0.21,59.0,0.48,59.0,0.92,Happy/Excited
pop,70.0,242182.0,90.67,9.0,1.0,0.55,0.32,0.38,0.78,0.76,0.97,0.28,45.0,0.66,45.0,0.88,Tired/Sad
pop,68.0,241226.0,90.67,4.0,1.0,0.65,0.34,0.45,0.76,0.74,0.96,0.23,42.0,0.66,42.0,0.96,Relax/Chill
pop,67.0,222813.0,84.72,3.0,0.0,0.5,0.36,0.4,0.48,0.74,0.96,0.18,42.0,0.71,42.0,0.87,Relax/Chill
j-pop,42.0,248452.0,105.47,6.0,0.0,0.53,0.37,0.36,0.49,0.75,0.94,0.2,52.0,0.57,52.0,0.91,Relax/Chill
pop,75.0,270705.0,103.36,9.0,1.0,0.5,0.3,0.38,0.79,0.79,0.95,0.31,51.0,0.58,51.0,0.92,Happy/Excited
j-dance,46.0,246133.0,129.2,3.0,0.0,0.67,0.33,0.53,0.5,0.76,0.96,0.29,52.0,0.46,52.0,0.96,Relax/Chill
,64.0,,161.5,9.0,1.0,0.76,0.35,0.44,0.8,0.74,0.97,0.2,80.0,0.37,80.0,0.94,Relax/Chill
rock,59.0,278373.0,117.45,6.0,0.0,0.55,0.38,0.39,0.49,0.74,0.95,0.17,58.0,0.51,58.0,0.91,Relax/Chill
rock,52.0,246800.0,184.57,10.0,0.0,0.58,0.38,0.6,0.51,0.74,0.93,0.19,45.0,0.33,45.0,0.95,Tired/Sad
j-rock,55.0,308386.0,78.3,7.0,1.0,0.55,0.37,0.4,0.78,0.73,0.94,0.19,38.0,0.77,38.0,0.95,Happy/Excited
j-rock,55.0,264200.0,90.67,10.0,1.0,0.67,0.37,0.39,0.79,0.73,0.93,0.19,45.0,0.66,45.0,0.89,Relax/Chill
rock,60.0,253413.0,103.36,7.0,0.0,0.55,0.38,0.41,0.49,0.73,0.95,0.15,52.0,0.58,52.0,0.89,Tired/Sad
j-rock,52.0,237360.0,117.45,6.0,1.0,0.59,0.38,0.4,0.8,0.72,0.93,0.15,57.0,0.51,57.0,0.89,Happy/Excited
,54.0,,147.66,2.0,1.0,0.67,0.4,0.42,0.8,0.73,0.94,0.1,72.0,0.41,72.0,0.93,Happy/Excited
,53.0,,84.72,3.0,0.0,0.61,0.38,0.35,0.48,0.75,0.94,0.16,42.0,0.71,42.0,0.88,Happy/Excited
,41.0,,82.03,7.0,1.0,0.56,0.38,0.45,0.78,0.73,0.95,0.17,32.0,0.73,32.0,0.88,Happy/Excited
,42.0,,90.67,4.0,1.0,0.59,0.37,0.48,0.78,0.74,0.96,0.17,20.0,0.66,20.0,0.92,Happy/Excited
,55.0,,114.84,2.0,1.0,0.64,0.36,0.39,0.79,0.74,0.95,0.19,55.0,0.52,55.0,0.91,Relax/Chill
,47.0,,166.71,8.0,1.0,0.55,0.37,0.44,0.81,0.74,0.94,0.2,80.0,0.36,80.0,0.94,Happy/Excited
,47.0,,114.84,7.0,0.0,0.49,0.34,0.43,0.5,0.75,0.93,0.23,54.0,0.52,54.0,0.89,Happy/Excited
pop,74.0,231882.0,117.45,6.0,1.0,0.61,0.35,0.48,0.8,0.76,0.94,0.26,56.0,0.51,56.0,0.96,Happy/Excited
,68.0,,161.5,4.0,1.0,0.56,0.31,0.49,0.8,0.77,0.96,0.33,78.0,0.37,78.0,0.95,Happy/Excited
,49.0,,123.05,3.0,0.0,0.57,0.38,0.41,0.5,0.74,0.94,0.18,58.0,0.49,58.0,0.89,Relax/Chill
garage,62.0,203733.0,166.71,4.0,1.0,0.56,0.36,0.49,0.81,0.74,0.95,0.17,80.0,0.36,80.0,0.95,Relax/Chill
garage,52.0,229840.0,84.72,9.0,0.0,0.67,0.3,0.45,0.4,0.78,0.97,0.31,42.0,0.71,42.0,0.9,Happy/Excited
r&b,36.0,183640.0,136.0,1.0,0.0,0.53,0.38,0.46,0.5,0.74,0.93,0.16,66.0,0.44,66.0,0.93,Happy/Excited
garage,17.0,,161.5,9.0,1.0,0.58,0.36,0.47,0.8,0.74,0.97,0.16,74.0,0.37,74.0,0.91,Relax/Chill
garage,16.0,,90.67,8.0,1.0,0.56,0.39,0.38,0.79,0.74,0.94,0.15,43.0,0.66,43.0,0.87,Happy/Excited
garage,37.0,147853.0,112.35,10.0,1.0,0.66,0.33,0.45,0.79,0.76,0.95,0.23,55.0,0.53,55.0,0.95,Happy/Excited
,13.0,,172.27,4.0,1.0,0.64,0.29,0.5,0.69,0.79,0.97,0.35,83.0,0.35,83.0,0.94,Happy/Excited
,2.0,,129.2,4.0,1.0,0.68,0.31,0.42,0.73,0.77,0.96,0.31,64.0,0.46,64.0,0.89,Relax/Chill
,2.0,,161.5,6.0,1.0,0.68,0.34,0.5,0.78,0.76,0.96,0.21,73.0,0.37,73.0,0.91,Tired/Sad
garage,55.0,182386.0,109.96,2.0,1.0,0.55,0.34,0.43,0.77,0.76,0.95,0.24,55.0,0.55,55.0,0.92,Tired/Sad
,2.0,,129.2,9.0,0.0,0.61,0.34,0.47,0.5,0.76,0.96,0.26,61.0,0.46,61.0,0.88,Tired/Sad
,4.0,,152.0,1.0,1.0,0.6,0.35,0.43,0.8,0.75,0.96,0.25,72.0,0.39,72.0,0.9,Relax/Chill
punk-rock,59.0,182493.0,143.55,0.0,0.0,0.66,0.37,0.6,0.5,0.74,0.96,0.12,1.0,0.42,1.0,0.0,Tired/Sad
indie pop,51.0,,117.45,3.0,0.0,0.7,0.34,0.41,0.49,0.76,0.96,0.19,57.0,0.51,57.0,0.93,Tired/Sad
pop,48.0,151960.0,117.45,1.0,0.0,0.8,0.39,0.58,0.5,0.75,0.92,0.13,28.0,0.51,28.0,0.94,Relax/Chill
indie pop,46.0,,139.67,8.0,1.0,0.74,0.38,0.49,0.8,0.75,0.94,0.12,63.0,0.43,63.0,0.97,Relax/Chill
indie pop,46.0,217312.0,126.05,3.0,0.0,0.73,0.35,0.48,0.5,0.75,0.95,0.19,60.0,0.48,60.0,0.92,Relax/Chill
indie pop,44.0,329978.0,107.67,4.0,1.0,0.61,0.36,0.44,0.79,0.74,0.94,0.19,53.0,0.56,53.0,0.89,Happy/Excited
indie pop,42.0,154566.0,103.36,4.0,1.0,0.67,0.36,0.44,0.79,0.74,0.93,0.19,52.0,0.58,52.0,0.9,Relax/Chill
indie pop,37.0,164284.0,92.29,1.0,0.0,0.63,0.32,0.43,0.48,0.74,0.95,0.22,47.0,0.65,47.0,0.93,Relax/Chill
indie pop,37.0,233746.0,112.35,5.0,0.0,0.8,0.39,0.44,0.49,0.74,0.94,0.08,54.0,0.53,54.0,0.97,Tired/Sad
indie pop,31.0,178920.0,123.05,10.0,1.0,0.76,0.39,0.38,0.79,0.73,0.96,0.05,62.0,0.49,62.0,0.9,Relax/Chill
indie pop,27.0,170320.0,123.05,4.0,1.0,0.71,0.36,0.39,0.79,0.74,0.97,0.15,61.0,0.49,61.0,0.92,Happy/Excited
indie pop,26.0,151346.0,136.0,9.0,1.0,0.8,0.43,0.41,0.81,0.71,0.91,0.0,65.0,0.44,65.0,0.88,Happy/Excited
indie pop,27.0,305136.0,101.33,1.0,0.0,0.8,0.38,0.45,0.46,0.75,0.94,0.12,48.0,0.59,48.0,0.97,Relax/Chill
indie pop,37.0,198400.0,112.35,4.0,1.0,0.72,0.36,0.42,0.79,0.75,0.93,0.23,56.0,0.53,56.0,0.89,Happy/Excited
indie pop,21.0,143830.0,136.0,3.0,0.0,0.8,0.4,0.49,0.5,0.73,0.94,0.03,66.0,0.44,66.0,0.95,Tired/Sad
trip-hop,45.0,235000.0,117.45,1.0,0.0,0.74,0.27,0.43,0.3,0.79,0.98,0.32,60.0,0.51,60.0,0.88,Tired/Sad
indie pop,33.0,168973.0,123.05,0.0,0.0,0.65,0.21,0.46,0.29,0.84,0.98,0.58,60.0,0.49,60.0,0.89,Happy/Excited
indie pop,41.0,215293.0,117.45,9.0,0.0,0.63,0.27,0.37,0.31,0.78,0.97,0.32,57.0,0.51,57.0,0.89,Relax/Chill
indie pop,37.0,223920.0,152.0,4.0,1.0,0.63,0.29,0.52,0.65,0.77,0.98,0.31,71.0,0.39,71.0,0.94,Relax/Chill
indie pop,41.0,255400.0,74.9,9.0,0.0,0.67,0.29,0.42,0.34,0.78,0.98,0.33,34.0,0.8,34.0,0.91,Relax/Chill
trip-hop,37.0,248426.0,93.96,9.0,1.0,0.71,0.28,0.48,0.65,0.79,0.97,0.38,27.0,0.64,27.0,0.87,Relax/Chill
trip-hop,39.0,408426.0,161.5,9.0,1.0,0.72,0.28,0.46,0.64,0.79,0.97,0.34,75.0,0.37,75.0,0.92,Relax/Chill
indie pop,37.0,266466.0,129.2,1.0,0.0,0.49,0.23,0.43,0.3,0.81,0.98,0.44,64.0,0.46,64.0,0.89,Tired/Sad
trip-hop,52.0,220400.0,123.05,11.0,1.0,0.58,0.34,0.48,0.69,0.75,0.96,0.18,57.0,0.49,57.0,0.89,Tired/Sad
trip-hop,48.0,278466.0,103.36,9.0,0.0,0.43,0.25,0.42,0.37,0.8,0.97,0.45,50.0,0.58,50.0,0.87,Tired/Sad
,61.0,,92.29,10.0,0.0,0.54,0.3,0.41,0.48,0.72,0.95,0.32,43.0,0.65,43.0,0.81,Relax/Chill
alt-rock,30.0,,152.0,2.0,1.0,0.62,0.35,0.47,0.74,0.74,0.96,0.18,71.0,0.39,71.0,0.93,Relax/Chill
alt-rock,28.0,,136.0,7.0,1.0,0.74,0.31,0.49,0.72,0.76,0.96,0.3,66.0,0.44,66.0,0.94,Relax/Chill
alt-rock,38.0,426773.0,129.2,9.0,1.0,0.6,0.33,0.45,0.77,0.77,0.95,0.22,62.0,0.46,62.0,0.91,Happy/Excited
pop,53.0,295813.0,77.13,3.0,0.0,0.69,0.33,0.44,0.39,0.74,0.97,0.19,17.0,0.78,17.0,0.8,Relax/Chill
trance,58.0,555704.0,92.29,3.0,0.0,0.82,0.32,0.47,0.49,0.77,0.94,0.35,44.0,0.65,44.0,0.95,Relax/Chill
trance,51.0,607552.0,143.55,2.0,1.0,0.87,0.27,0.54,0.78,0.8,0.95,0.42,60.0,0.42,60.0,0.98,Relax/Chill
trance,55.0,460869.0,92.29,11.0,1.0,0.63,0.35,0.34,0.79,0.73,0.94,0.15,45.0,0.65,45.0,0.87,Happy/Excited
techno,50.0,504347.0,92.29,1.0,1.0,0.84,0.3,0.47,0.78,0.78,0.95,0.38,41.0,0.65,41.0,0.91,Happy/Excited
trance,49.0,584347.0,92.29,7.0,0.0,0.72,0.29,0.44,0.48,0.79,0.96,0.37,40.0,0.65,40.0,0.97,Happy/Excited
trance,43.0,523478.0,109.96,3.0,0.0,0.79,0.33,0.47,0.49,0.76,0.94,0.32,49.0,0.55,49.0,0.85,Happy/Excited
trance,42.0,781623.0,120.19,8.0,1.0,0.76,0.32,0.43,0.8,0.78,0.94,0.35,54.0,0.5,54.0,0.96,Happy/Excited
trance,42.0,488823.0,136.0,5.0,1.0,0.88,0.31,0.48,0.8,0.78,0.93,0.37,65.0,0.44,65.0,0.95,Happy/Excited
trance,35.0,517714.0,139.67,1.0,0.0,0.8,0.32,0.6,0.5,0.77,0.94,0.37,32.0,0.43,32.0,0.98,Relax/Chill
trance,48.0,493714.0,112.35,3.0,1.0,0.73,0.37,0.4,0.8,0.76,0.93,0.22,51.0,0.53,51.0,0.9,Happy/Excited
trance,48.0,518260.0,139.67,4.0,0.0,0.81,0.29,0.51,0.5,0.78,0.95,0.38,66.0,0.43,66.0,0.95,Happy/Excited
trance,47.0,528000.0,143.55,3.0,0.0,0.74,0.34,0.54,0.5,0.76,0.94,0.29,56.0,0.42,56.0,0.96,Relax/Chill
,4.0,,114.84,2.0,1.0,0.77,0.26,0.49,0.66,0.8,0.98,0.4,29.0,0.52,29.0,0.96,Happy/Excited
,6.0,,123.05,2.0,1.0,0.86,0.3,0.42,0.79,0.78,0.97,0.35,59.0,0.49,59.0,0.88,Happy/Excited
,5.0,,117.45,9.0,1.0,0.74,0.23,0.45,0.6,0.84,0.97,0.49,57.0,0.51,57.0,0.95,Relax/Chill
,14.0,,123.05,2.0,1.0,0.84,0.29,0.47,0.7,0.77,0.96,0.38,59.0,0.49,59.0,0.97,Relax/Chill
,34.0,,99.38,3.0,0.0,0.6,0.33,0.41,0.43,0.75,0.96,0.21,48.0,0.6,48.0,0.94,Relax/Chill
,26.0,,132.51,11.0,1.0,0.45,0.36,0.41,0.8,0.75,0.93,0.23,65.0,0.45,65.0,0.93,Relax/Chill
,12.0,,117.45,2.0,1.0,0.83,0.27,0.46,0.68,0.78,0.96,0.37,54.0,0.51,54.0,0.9,Relax/Chill
metal,31.0,177493.0,117.45,2.0,1.0,0.49,0.33,0.46,0.79,0.76,0.95,0.27,59.0,0.51,59.0,0.92,Relax/Chill
,22.0,,123.05,5.0,0.0,0.62,0.29,0.41,0.36,0.78,0.97,0.29,61.0,0.49,61.0,0.88,Relax/Chill
,8.0,,161.5,2.0,1.0,0.7,0.31,0.45,0.75,0.77,0.97,0.28,76.0,0.37,76.0,0.95,Relax/Chill
,17.0,,129.2,7.0,1.0,0.68,0.28,0.42,0.71,0.78,0.98,0.3,63.0,0.46,63.0,0.9,Relax/Chill
,22.0,,136.0,3.0,1.0,0.6,0.32,0.43,0.8,0.74,0.96,0.22,64.0,0.44,64.0,0.9,Relax/Chill
r&b,19.0,293826.0,161.5,6.0,0.0,0.88,0.24,0.5,0.3,0.8,0.99,0.41,77.0,0.37,77.0,0.95,Relax/Chill
,9.0,,92.29,3.0,1.0,0.63,0.29,0.39,0.78,0.76,0.98,0.32,44.0,0.65,44.0,0.95,Relax/Chill
indie pop,38.0,276600.0,152.0,10.0,0.0,0.61,0.31,0.62,0.4,0.79,0.96,0.29,38.0,0.39,38.0,0.96,Relax/Chill
pop,49.0,307666.0,143.55,11.0,1.0,0.61,0.34,0.43,0.77,0.75,0.95,0.25,70.0,0.42,70.0,0.96,Relax/Chill
indie pop,33.0,373200.0,97.51,5.0,0.0,0.6,0.34,0.4,0.46,0.74,0.95,0.21,46.0,0.62,46.0,0.94,Tired/Sad
indie pop,32.0,230200.0,143.55,11.0,1.0,0.57,0.36,0.52,0.81,0.74,0.93,0.19,69.0,0.42,69.0,0.96,Tired/Sad
indie pop,41.0,201826.0,109.96,5.0,1.0,0.58,0.32,0.46,0.77,0.76,0.96,0.29,52.0,0.55,52.0,0.94,Tired/Sad
pop,48.0,289333.0,166.71,8.0,0.0,0.71,0.32,0.5,0.47,0.76,0.96,0.28,81.0,0.36,81.0,0.96,Tired/Sad
,59.0,157000.0,143.55,3.0,1.0,0.5,0.32,0.49,0.78,0.76,0.97,0.29,66.0,0.42,66.0,0.95,Tired/Sad
,51.0,,117.45,3.0,0.0,0.68,0.22,0.56,0.26,0.84,0.96,0.59,26.0,0.51,26.0,0.9,Tired/Sad
indie pop,39.0,282733.0,123.05,8.0,0.0,0.56,0.29,0.46,0.45,0.78,0.97,0.36,60.0,0.49,60.0,0.92,Tired/Sad
indie,44.0,182266.0,136.0,5.0,0.0,0.45,0.23,0.47,0.35,0.81,0.98,0.46,68.0,0.44,68.0,0.92,Tired/Sad
indie pop,35.0,252573.0,129.2,0.0,1.0,0.61,0.38,0.56,0.8,0.75,0.93,0.12,32.0,0.46,32.0,0.91,Tired/Sad
indie,42.0,365533.0,120.19,1.0,1.0,0.61,0.3,0.49,0.79,0.78,0.95,0.31,57.0,0.5,57.0,0.94,Tired/Sad
pop,47.0,318800.0,120.19,10.0,0.0,0.58,0.37,0.56,0.48,0.74,0.95,0.14,24.0,0.5,24.0,0.96,Tired/Sad
indie pop,36.0,237226.0,120.19,8.0,0.0,0.66,0.33,0.49,0.49,0.76,0.95,0.29,55.0,0.5,55.0,0.97,Relax/Chill
rock,86.0,301920.0,120.19,8.0,0.0,0.66,0.38,0.42,0.49,0.74,0.95,0.14,56.0,0.5,56.0,0.88,Relax/Chill
rock,85.0,218920.0,132.51,2.0,1.0,0.77,0.36,0.42,0.79,0.73,0.97,0.15,61.0,0.45,61.0,0.87,Relax/Chill
rock,84.0,281160.0,107.67,6.0,0.0,0.64,0.38,0.45,0.49,0.74,0.94,0.14,49.0,0.56,49.0,0.82,Happy/Excited
rock,76.0,257053.0,123.05,9.0,0.0,0.6,0.36,0.47,0.49,0.74,0.96,0.2,60.0,0.49,60.0,0.91,Happy/Excited
,80.0,261093.0,117.45,3.0,0.0,0.53,0.32,0.46,0.41,0.75,0.97,0.23,58.0,0.51,58.0,0.95,Happy/Excited
grunge,74.0,232146.0,107.67,0.0,1.0,0.74,0.26,0.45,0.62,0.82,0.97,0.46,50.0,0.56,50.0,0.94,Happy/Excited
grunge,62.0,156426.0,152.0,7.0,1.0,0.67,0.38,0.44,0.8,0.73,0.96,0.13,72.0,0.39,72.0,0.92,Relax/Chill
grunge,68.0,184040.0,80.75,8.0,0.0,0.72,0.39,0.42,0.48,0.73,0.95,0.12,36.0,0.74,36.0,0.9,Relax/Chill
grunge,72.0,255080.0,161.5,9.0,0.0,0.64,0.38,0.44,0.51,0.74,0.94,0.19,76.0,0.37,76.0,0.93,Happy/Excited
,77.0,233173.0,117.45,8.0,0.0,0.65,0.34,0.42,0.49,0.75,0.95,0.23,53.0,0.51,53.0,0.9,Happy/Excited
rock,76.0,151893.0,112.35,11.0,1.0,0.69,0.3,0.41,0.71,0.78,0.97,0.33,53.0,0.53,53.0,0.93,Happy/Excited
alternative,81.0,121160.0,129.2,3.0,0.0,0.67,0.38,0.43,0.5,0.75,0.93,0.16,60.0,0.46,60.0,0.91,Happy/Excited
alternative,73.0,259385.0,60.09,10.0,1.0,0.58,0.37,0.4,0.77,0.75,0.93,0.19,30.0,1.0,30.0,0.83,Relax/Chill
alternative,66.0,185093.0,69.84,11.0,1.0,0.58,0.35,0.4,0.77,0.75,0.95,0.22,33.0,0.86,33.0,0.88,Happy/Excited
alt-rock,66.0,358773.0,123.05,9.0,1.0,0.54,0.32,0.5,0.8,0.76,0.95,0.28,57.0,0.49,57.0,0.94,Happy/Excited
alt-rock,60.0,238520.0,107.67,9.0,1.0,0.52,0.37,0.42,0.79,0.74,0.94,0.16,53.0,0.56,53.0,0.85,Happy/Excited
alt-rock,60.0,461946.0,161.5,4.0,0.0,0.53,0.33,0.51,0.48,0.75,0.95,0.25,73.0,0.37,73.0,0.93,Relax/Chill
alt-rock,58.0,213986.0,117.45,8.0,1.0,0.67,0.36,0.45,0.79,0.75,0.95,0.21,57.0,0.51,57.0,0.93,Relax/Chill
,17.0,,95.7,7.0,1.0,0.62,0.33,0.44,0.76,0.78,0.95,0.24,47.0,0.63,47.0,0.95,Happy/Excited
alt-rock,42.0,205773.0,112.35,7.0,1.0,0.56,0.35,0.44,0.76,0.75,0.94,0.17,53.0,0.53,53.0,0.92,Happy/Excited
alt-rock,53.0,233373.0,143.55,7.0,0.0,0.6,0.33,0.5,0.48,0.76,0.96,0.27,64.0,0.42,64.0,0.95,Relax/Chill
j-dance,9.0,370626.0,132.51,7.0,1.0,0.67,0.29,0.52,0.8,0.79,0.95,0.42,32.0,0.45,32.0,0.96,Relax/Chill
,2.0,,112.35,5.0,0.0,0.44,0.29,0.37,0.49,0.76,0.95,0.41,55.0,0.53,55.0,0.88,Relax/Chill
,2.0,,117.45,8.0,0.0,0.39,0.27,0.39,0.49,0.78,0.96,0.44,58.0,0.51,58.0,0.88,Relax/Chill
turkish,40.0,319826.0,152.0,9.0,1.0,0.52,0.28,0.49,0.7,0.77,0.97,0.37,72.0,0.39,72.0,0.91,Relax/Chill
j-dance,41.0,492666.0,109.96,7.0,1.0,0.45,0.29,0.36,0.73,0.76,0.96,0.34,57.0,0.55,57.0,0.85,Relax/Chill
turkish,20.0,536813.0,112.35,9.0,1.0,0.52,0.3,0.42,0.7,0.76,0.96,0.33,55.0,0.53,55.0,0.87,Relax/Chill
dance,89.0,237200.0,117.45,3.0,1.0,0.52,0.33,0.53,0.79,0.76,0.96,0.25,34.0,0.51,34.0,0.95,Relax/Chill
dance,86.0,241933.0,120.19,8.0,1.0,0.58,0.34,0.49,0.8,0.77,0.93,0.29,58.0,0.5,58.0,0.93,Relax/Chill
,53.0,,132.51,3.0,0.0,0.63,0.37,0.5,0.5,0.75,0.94,0.23,63.0,0.45,63.0,0.97,Happy/Excited
dance,89.0,294573.0,120.19,4.0,1.0,0.58,0.35,0.47,0.8,0.75,0.94,0.27,54.0,0.5,54.0,0.97,Happy/Excited
dance,83.0,220626.0,123.05,5.0,0.0,0.65,0.35,0.46,0.5,0.76,0.93,0.3,58.0,0.49,58.0,0.94,Happy/Excited
,14.0,,90.67,9.0,0.0,0.51,0.33,0.4,0.48,0.75,0.95,0.26,42.0,0.66,42.0,0.88,Happy/Excited
,31.0,,117.45,2.0,0.0,0.64,0.33,0.48,0.49,0.76,0.95,0.27,57.0,0.51,57.0,0.94,Happy/Excited
,20.0,,136.0,7.0,1.0,0.52,0.34,0.54,0.8,0.75,0.94,0.25,30.0,0.44,30.0,0.94,Relax/Chill
,9.0,,126.05,9.0,1.0,0.59,0.35,0.44,0.8,0.75,0.95,0.21,61.0,0.48,61.0,0.93,Happy/Excited
,0.0,,120.19,4.0,1.0,0.9,0.3,0.57,0.79,0.78,0.97,0.39,31.0,0.5,31.0,0.97,Happy/Excited
,29.0,,120.19,9.0,1.0,0.72,0.37,0.41,0.8,0.76,0.94,0.22,57.0,0.5,57.0,0.97,Relax/Chill
