genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
singer-songwriter,33.0,258976.0,107.67,10.0,0.0,0.5,0.29,0.4,0.42,0.76,0.97,0.31,50.0,0.56,50.0,0.84,Relax/Chill
singer-songwriter,31.0,,147.66,11.0,1.0,0.56,0.3,0.49,0.76,0.77,0.97,0.33,65.0,0.41,65.0,0.91,Happy/Excited
singer-songwriter,57.0,207466.0,123.05,0.0,0.0,0.58,0.27,0.44,0.4,0.78,0.97,0.41,56.0,0.49,56.0,0.89,Happy/Excited
singer-songwriter,54.0,325844.0,136.0,10.0,0.0,0.47,0.35,0.44,0.5,0.75,0.96,0.22,67.0,0.44,67.0,0.91,Happy/Excited
singer-songwriter,47.0,281346.0,143.55,8.0,0.0,0.56,0.27,0.55,0.36,0.79,0.97,0.38,34.0,0.42,34.0,0.9,Relax/Chill
,75.0,,129.2,2.0,1.0,0.65,0.33,0.6,0.8,0.77,0.95,0.27,29.0,0.46,29.0,0.94,Tired/Sad
pop,65.0,235200.0,105.47,4.0,1.0,0.5,0.32,0.44,0.79,0.76,0.94,0.28,51.0,0.57,51.0,0.91,Relax/Chill
pop,54.0,231910.0,117.45,0.0,1.0,0.57,0.32,0.45,0.79,0.76,0.95,0.31,58.0,0.51,58.0,0.93,Happy/Excited
singer-songwriter,49.0,,123.05,0.0,1.0,0.56,0.34,0.47,0.8,0.76,0.95,0.29,58.0,0.49,58.0,0.93,Angry/Frustrated
singer-songwriter,44.0,,84.72,11.0,1.0,0.52,0.31,0.4,0.78,0.76,0.94,0.32,40.0,0.71,40.0,0.87,Tired/Sad
singer-songwriter,47.0,245822.0,143.55,6.0,1.0,0.53,0.32,0.44,0.8,0.75,0.95,0.29,70.0,0.42,70.0,0.91,Happy/Excited
singer-songwriter,46.0,238105.0,129.2,4.0,1.0,0.58,0.32,0.44,0.8,0.76,0.96,0.31,61.0,0.46,61.0,0.9,Tired/Sad
mandopop,65.0,273573.0,112.35,2.0,1.0,0.48,0.34,0.49,0.79,0.75,0.94,0.23,29.0,0.53,29.0,0.89,Relax/Chill
mandopop,55.0,270373.0,136.0,3.0,0.0,0.43,0.32,0.42,0.47,0.75,0.97,0.27,64.0,0.44,64.0,0.91,Relax/Chill
mandopop,53.0,284853.0,152.0,10.0,0.0,0.59,0.33,0.58,0.5,0.76,0.95,0.25,33.0,0.39,33.0,0.94,Tired/Sad
singer-songwriter,60.0,313565.0,161.5,6.0,0.0,0.53,0.32,0.49,0.5,0.76,0.96,0.25,79.0,0.37,79.0,0.9,Tired/Sad
mandopop,56.0,265573.0,92.29,10.0,0.0,0.55,0.31,0.44,0.44,0.76,0.96,0.27,46.0,0.65,46.0,0.94,Relax/Chill
mandopop,64.0,239346.0,107.67,11.0,1.0,0.55,0.31,0.48,0.75,0.77,0.96,0.31,51.0,0.56,51.0,0.92,Tired/Sad
mandopop,61.0,223453.0,161.5,4.0,1.0,0.67,0.35,0.51,0.81,0.75,0.93,0.22,76.0,0.37,76.0,0.95,Relax/Chill
pop,53.0,263173.0,156.61,4.0,1.0,0.5,0.31,0.49,0.78,0.77,0.96,0.29,73.0,0.38,73.0,0.95,Happy/Excited
mandopop,53.0,293960.0,139.67,5.0,1.0,0.49,0.3,0.45,0.71,0.76,0.97,0.29,65.0,0.43,65.0,0.91,Relax/Chill
pop,66.0,215146.0,90.67,6.0,1.0,0.63,0.32,0.42,0.78,0.76,0.96,0.29,45.0,0.66,45.0,0.96,Tired/Sad
mandopop,55.0,253960.0,76.0,2.0,1.0,0.45,0.34,0.4,0.78,0.75,0.95,0.24,35.0,0.79,35.0,0.92,Relax/Chill
mandopop,61.0,228173.0,143.55,10.0,0.0,0.54,0.37,0.51,0.51,0.73,0.92,0.17,67.0,0.42,67.0,0.96,Relax/Chill
mandopop,60.0,308546.0,86.13,9.0,1.0,0.5,0.35,0.47,0.78,0.76,0.94,0.21,20.0,0.7,20.0,0.83,Relax/Chill
mandopop,66.0,287026.0,136.0,10.0,0.0,0.49,0.36,0.5,0.5,0.74,0.95,0.19,65.0,0.44,65.0,0.94,Relax/Chill
rock,75.0,262333.0,83.35,8.0,0.0,0.66,0.34,0.45,0.48,0.75,0.97,0.23,13.0,0.72,13.0,0.94,Relax/Chill
punk,39.0,,105.47,6.0,1.0,0.6,0.35,0.43,0.79,0.75,0.96,0.23,50.0,0.57,50.0,0.94,Relax/Chill
punk,41.0,,166.71,5.0,0.0,0.61,0.36,0.48,0.5,0.74,0.96,0.22,78.0,0.36,78.0,0.93,Relax/Chill
punk-rock,37.0,,92.29,8.0,0.0,0.7,0.36,0.43,0.49,0.75,0.95,0.23,35.0,0.65,35.0,0.91,Relax/Chill
,76.0,,143.55,7.0,0.0,0.51,0.36,0.48,0.5,0.75,0.95,0.18,64.0,0.42,64.0,0.92,Happy/Excited
,45.0,,105.47,11.0,0.0,0.53,0.31,0.44,0.49,0.75,0.96,0.29,49.0,0.57,49.0,0.96,Tired/Sad
,0.0,,143.55,5.0,1.0,0.47,0.28,0.45,0.76,0.78,0.96,0.36,70.0,0.42,70.0,0.89,Relax/Chill
,59.0,,123.05,8.0,0.0,0.44,0.34,0.59,0.5,0.75,0.95,0.23,22.0,0.49,22.0,0.93,Relax/Chill
,34.0,,123.05,3.0,0.0,0.74,0.27,0.47,0.36,0.77,0.98,0.35,58.0,0.49,58.0,0.96,Relax/Chill
,29.0,,136.0,9.0,1.0,0.52,0.25,0.42,0.64,0.79,0.99,0.39,65.0,0.44,65.0,0.87,Tired/Sad
pop,38.0,175186.0,123.05,10.0,1.0,0.51,0.3,0.47,0.7,0.76,0.97,0.23,58.0,0.49,58.0,0.92,Relax/Chill
pop,38.0,,86.13,10.0,0.0,0.47,0.29,0.41,0.38,0.77,0.97,0.33,42.0,0.7,42.0,0.87,Tired/Sad
mandopop,47.0,253040.0,93.96,4.0,1.0,0.46,0.3,0.46,0.79,0.77,0.95,0.34,45.0,0.64,45.0,0.91,Happy/Excited
mandopop,43.0,272026.0,109.96,8.0,0.0,0.5,0.33,0.46,0.49,0.75,0.95,0.28,54.0,0.55,54.0,0.96,Tired/Sad
,39.0,,82.03,11.0,1.0,0.56,0.33,0.4,0.78,0.76,0.95,0.3,40.0,0.73,40.0,0.85,Relax/Chill
singer-songwriter,49.0,202346.0,112.35,5.0,0.0,0.46,0.34,0.45,0.5,0.76,0.93,0.24,51.0,0.53,51.0,0.85,Happy/Excited
,62.0,,87.59,8.0,0.0,0.67,0.33,0.4,0.48,0.76,0.95,0.28,41.0,0.68,41.0,0.93,Happy/Excited
indie pop,53.0,347058.0,136.0,8.0,0.0,0.64,0.32,0.45,0.48,0.76,0.97,0.31,64.0,0.44,64.0,0.89,Happy/Excited
mandopop,54.0,313186.0,129.2,10.0,0.0,0.42,0.38,0.45,0.5,0.75,0.94,0.17,63.0,0.46,63.0,0.91,Relax/Chill
singer-songwriter,59.0,280954.0,166.71,4.0,1.0,0.55,0.26,0.62,0.75,0.78,0.97,0.39,38.0,0.36,38.0,0.93,Relax/Chill
mandopop,47.0,262333.0,117.45,2.0,1.0,0.51,0.34,0.5,0.79,0.76,0.95,0.23,26.0,0.51,26.0,0.92,Relax/Chill
mandopop,56.0,191718.0,132.51,5.0,0.0,0.57,0.31,0.43,0.5,0.78,0.97,0.32,65.0,0.45,65.0,0.89,Happy/Excited
mandopop,66.0,259600.0,84.72,10.0,1.0,0.55,0.31,0.42,0.73,0.76,0.97,0.28,39.0,0.71,39.0,0.91,Relax/Chill
hip-hop,56.0,258834.0,161.5,7.0,1.0,0.6,0.35,0.49,0.81,0.75,0.94,0.23,75.0,0.37,75.0,0.92,Relax/Chill
mandopop,47.0,272560.0,161.5,4.0,1.0,0.53,0.36,0.49,0.81,0.74,0.94,0.18,72.0,0.37,72.0,0.9,Relax/Chill
rock,74.0,288013.0,147.66,5.0,0.0,0.57,0.34,0.51,0.5,0.74,0.96,0.22,71.0,0.41,71.0,0.93,Relax/Chill
rock,75.0,286053.0,161.5,6.0,1.0,0.53,0.36,0.52,0.8,0.73,0.96,0.18,76.0,0.37,76.0,0.93,Tired/Sad
rock,71.0,314280.0,77.13,9.0,1.0,0.56,0.35,0.39,0.78,0.74,0.96,0.2,38.0,0.78,38.0,0.92,Tired/Sad
rock,66.0,340080.0,156.61,4.0,1.0,0.52,0.36,0.48,0.81,0.74,0.95,0.19,73.0,0.38,73.0,0.94,Relax/Chill
rock,67.0,325040.0,80.75,10.0,0.0,0.49,0.39,0.44,0.48,0.74,0.93,0.17,39.0,0.74,39.0,0.91,Happy/Excited
rock,68.0,254440.0,89.1,5.0,0.0,0.51,0.37,0.44,0.48,0.73,0.95,0.15,42.0,0.67,42.0,0.92,Relax/Chill
rock,72.0,258333.0,147.66,11.0,0.0,0.49,0.37,0.52,0.5,0.74,0.94,0.18,71.0,0.41,71.0,0.95,Relax/Chill
j-rock,59.0,262000.0,123.05,4.0,1.0,0.53,0.36,0.46,0.8,0.74,0.95,0.2,60.0,0.49,60.0,0.94,Angry/Frustrated
j-idol,44.0,265826.0,123.05,8.0,0.0,0.59,0.39,0.49,0.5,0.73,0.94,0.11,58.0,0.49,58.0,0.96,Relax/Chill
j-idol,50.0,249533.0,120.19,5.0,1.0,0.66,0.4,0.43,0.8,0.75,0.92,0.18,55.0,0.5,55.0,0.96,Tired/Sad
j-idol,47.0,222666.0,161.5,4.0,1.0,0.57,0.39,0.44,0.81,0.74,0.94,0.13,79.0,0.37,79.0,0.95,Relax/Chill
j-idol,45.0,221506.0,126.05,7.0,1.0,0.49,0.34,0.47,0.79,0.75,0.96,0.22,61.0,0.48,61.0,0.96,Tired/Sad
j-idol,47.0,273866.0,129.2,5.0,0.0,0.55,0.39,0.47,0.5,0.73,0.94,0.13,61.0,0.46,61.0,0.92,Relax/Chill
j-idol,46.0,307600.0,103.36,8.0,1.0,0.54,0.37,0.45,0.79,0.73,0.96,0.13,42.0,0.58,42.0,0.97,Relax/Chill
j-idol,46.0,307600.0,103.36,8.0,1.0,0.54,0.37,0.45,0.79,0.73,0.96,0.13,42.0,0.58,42.0,0.97,Relax/Chill
j-idol,41.0,245166.0,143.55,4.0,1.0,0.57,0.33,0.56,0.8,0.76,0.96,0.26,37.0,0.42,37.0,0.95,Relax/Chill
j-idol,44.0,296400.0,136.0,7.0,1.0,0.59,0.39,0.44,0.8,0.72,0.94,0.09,67.0,0.44,67.0,0.93,Relax/Chill
rock,59.0,253226.0,132.51,6.0,0.0,0.58,0.34,0.56,0.5,0.76,0.96,0.24,31.0,0.45,31.0,0.94,Relax/Chill
rock,50.0,263733.0,92.29,4.0,1.0,0.62,0.37,0.4,0.79,0.75,0.93,0.21,44.0,0.65,44.0,0.9,Relax/Chill
rock,56.0,230586.0,97.51,7.0,1.0,0.54,0.35,0.39,0.78,0.74,0.96,0.22,47.0,0.62,47.0,0.86,Relax/Chill
j-rock,48.0,253440.0,86.13,7.0,1.0,0.6,0.35,0.45,0.78,0.75,0.95,0.21,12.0,0.7,12.0,0.83,Happy/Excited
j-rock,49.0,213462.0,147.66,2.0,1.0,0.61,0.36,0.53,0.8,0.74,0.96,0.17,66.0,0.41,66.0,0.96,Happy/Excited
rock,42.0,221666.0,92.29,7.0,0.0,0.55,0.38,0.37,0.49,0.75,0.93,0.21,47.0,0.65,47.0,0.87,Happy/Excited
j-pop,64.0,261239.0,120.19,4.0,1.0,0.53,0.38,0.49,0.8,0.75,0.94,0.17,56.0,0.5,56.0,0.93,Relax/Chill
j-pop,54.0,281333.0,114.84,4.0,1.0,0.52,0.39,0.49,0.8,0.74,0.91,0.17,55.0,0.52,55.0,0.96,Happy/Excited
j-pop,56.0,275866.0,136.0,2.0,1.0,0.58,0.39,0.51,0.8,0.75,0.94,0.15,66.0,0.44,66.0,0.93,Relax/Chill
j-pop,57.0,274773.0,84.72,9.0,1.0,0.57,0.37,0.39,0.78,0.75,0.94,0.2,40.0,0.71,40.0,0.9,Happy/Excited
j-pop,57.0,259040.0,95.7,2.0,1.0,0.56,0.37,0.4,0.79,0.75,0.94,0.21,46.0,0.63,46.0,0.92,Happy/Excited
j-rock,49.0,295933.0,129.2,4.0,0.0,0.49,0.38,0.51,0.5,0.74,0.94,0.14,60.0,0.46,60.0,0.96,Happy/Excited
j-rock,55.0,241626.0,123.05,3.0,0.0,0.61,0.35,0.39,0.49,0.74,0.96,0.21,60.0,0.49,60.0,0.9,Happy/Excited
j-pop,57.0,254506.0,129.2,10.0,0.0,0.55,0.37,0.49,0.5,0.75,0.93,0.21,62.0,0.46,62.0,0.93,Happy/Excited
j-pop,51.0,241567.0,120.19,0.0,1.0,0.47,0.33,0.44,0.79,0.75,0.96,0.28,55.0,0.5,55.0,0.92,Happy/Excited
j-pop,49.0,259053.0,129.2,8.0,1.0,0.49,0.36,0.45,0.8,0.76,0.94,0.24,62.0,0.46,62.0,0.96,Happy/Excited
pop,63.0,236960.0,152.0,0.0,1.0,0.57,0.37,0.47,0.81,0.75,0.93,0.22,75.0,0.39,75.0,0.96,Happy/Excited
j-pop,59.0,258633.0,152.0,9.0,1.0,0.48,0.37,0.51,0.81,0.75,0.93,0.21,70.0,0.39,70.0,0.92,Happy/Excited
pop,70.0,226026.0,143.55,7.0,1.0,0.6,0.39,0.5,0.81,0.74,0.92,0.15,65.0,0.42,65.0,0.91,Happy/Excited
j-pop,58.0,230066.0,93.96,2.0,1.0,0.53,0.39,0.44,0.79,0.74,0.92,0.17,46.0,0.64,46.0,0.89,Happy/Excited
pop,63.0,279200.0,132.51,7.0,1.0,0.49,0.34,0.45,0.8,0.75,0.95,0.27,65.0,0.45,65.0,0.94,Happy/Excited
,59.0,,95.7,5.0,0.0,0.58,0.37,0.44,0.49,0.75,0.95,0.2,32.0,0.63,32.0,0.93,Happy/Excited
j-pop,51.0,253066.0,143.55,7.0,1.0,0.51,0.38,0.49,0.81,0.74,0.93,0.14,67.0,0.42,67.0,0.94,Happy/Excited
,62.0,,120.19,10.0,0.0,0.54,0.37,0.46,0.5,0.75,0.93,0.21,60.0,0.5,60.0,0.94,Happy/Excited
,55.0,,83.35,10.0,0.0,0.52,0.35,0.45,0.48,0.75,0.95,0.21,18.0,0.72,18.0,0.91,Happy/Excited
,51.0,,143.55,7.0,1.0,0.66,0.36,0.46,0.8,0.74,0.95,0.19,68.0,0.42,68.0,0.94,Happy/Excited
,46.0,,114.84,5.0,1.0,0.45,0.37,0.43,0.8,0.75,0.93,0.21,54.0,0.52,54.0,0.94,Relax/Chill
,43.0,,107.67,8.0,0.0,0.53,0.39,0.37,0.49,0.74,0.94,0.15,52.0,0.56,52.0,0.88,Happy/Excited
,46.0,,120.19,2.0,1.0,0.6,0.36,0.48,0.79,0.74,0.95,0.2,61.0,0.5,61.0,0.89,Happy/Excited
,48.0,,112.35,5.0,0.0,0.43,0.36,0.39,0.49,0.74,0.95,0.21,53.0,0.53,53.0,0.88,Relax/Chill
,44.0,,117.45,9.0,1.0,0.58,0.37,0.44,0.8,0.74,0.94,0.17,56.0,0.51,56.0,0.92,Happy/Excited
,49.0,,112.35,11.0,1.0,0.62,0.36,0.43,0.79,0.74,0.94,0.19,55.0,0.53,55.0,0.96,Happy/Excited
,42.0,,139.67,7.0,1.0,0.62,0.39,0.47,0.8,0.73,0.94,0.11,68.0,0.43,68.0,0.94,Relax/Chill
,63.0,,132.51,10.0,0.0,0.58,0.38,0.46,0.51,0.73,0.9,0.17,63.0,0.45,63.0,0.95,Happy/Excited
,63.0,,95.7,4.0,1.0,0.53,0.35,0.39,0.79,0.75,0.95,0.2,46.0,0.63,46.0,0.88,Happy/Excited
j-pop,59.0,276213.0,95.7,9.0,0.0,0.52,0.35,0.52,0.48,0.75,0.96,0.18,22.0,0.63,22.0,0.91,Relax/Chill
pop,62.0,208271.0,129.2,0.0,0.0,0.63,0.37,0.47,0.51,0.74,0.91,0.24,60.0,0.46,60.0,0.95,Relax/Chill
pop,67.0,204920.0,89.1,11.0,0.0,0.67,0.37,0.44,0.49,0.73,0.93,0.19,42.0,0.67,42.0,0.94,Relax/Chill
j-pop,57.0,196285.0,156.61,1.0,0.0,0.57,0.35,0.45,0.5,0.75,0.97,0.21,78.0,0.38,78.0,0.92,Happy/Excited
pop,63.0,228214.0,87.59,7.0,1.0,0.6,0.36,0.36,0.79,0.74,0.93,0.22,43.0,0.68,43.0,0.91,Relax/Chill
j-pop,56.0,244377.0,97.51,0.0,1.0,0.59,0.32,0.45,0.78,0.75,0.96,0.27,46.0,0.62,46.0,0.91,Happy/Excited
j-pop,50.0,200712.0,120.19,10.0,0.0,0.56,0.35,0.43,0.49,0.74,0.95,0.24,56.0,0.5,56.0,0.92,Relax/Chill
,53.0,,95.7,4.0,1.0,0.46,0.32,0.46,0.77,0.75,0.97,0.23,26.0,0.63,26.0,0.87,Relax/Chill
pop,70.0,242066.0,139.67,8.0,0.0,0.56,0.36,0.45,0.5,0.74,0.94,0.19,68.0,0.43,68.0,0.95,Relax/Chill
pop,71.0,199333.0,129.2,7.0,1.0,0.53,0.35,0.42,0.8,0.75,0.96,0.22,61.0,0.46,61.0,0.9,Happy/Excited
j-pop,62.0,269093.0,92.29,10.0,0.0,0.58,0.36,0.38,0.48,0.74,0.95,0.21,44.0,0.65,44.0,0.88,Happy/Excited
j-pop,60.0,228920.0,143.55,7.0,1.0,0.49,0.38,0.51,0.8,0.73,0.95,0.16,68.0,0.42,68.0,0.92,Happy/Excited
pop,64.0,265986.0,89.1,11.0,1.0,0.48,0.38,0.4,0.79,0.73,0.93,0.19,43.0,0.67,43.0,0.89,Tired/Sad
j-pop,53.0,249426.0,123.05,0.0,0.0,0.64,0.37,0.43,0.5,0.74,0.95,0.19,54.0,0.49,54.0,0.92,Happy/Excited
j-pop,49.0,278360.0,152.0,2.0,1.0,0.51,0.35,0.5,0.78,0.74,0.96,0.17,65.0,0.39,65.0,0.95,Happy/Excited
,56.0,,129.2,1.0,0.0,0.58,0.36,0.55,0.5,0.75,0.95,0.22,33.0,0.46,33.0,0.92,Happy/Excited
j-pop,55.0,266533.0,156.61,7.0,1.0,0.59,0.36,0.43,0.8,0.74,0.95,0.17,75.0,0.38,75.0,0.93,Happy/Excited
reggae,55.0,290426.0,123.05,0.0,0.0,0.68,0.35,0.48,0.5,0.74,0.94,0.21,61.0,0.49,61.0,0.94,Happy/Excited
,54.0,,152.0,3.0,1.0,0.52,0.34,0.5,0.81,0.76,0.93,0.24,75.0,0.39,75.0,0.96,Relax/Chill
anime,41.0,301200.0,103.36,4.0,1.0,0.53,0.32,0.44,0.79,0.75,0.96,0.27,47.0,0.58,47.0,0.85,Relax/Chill
,37.0,,105.47,0.0,1.0,0.49,0.33,0.45,0.75,0.74,0.96,0.2,51.0,0.57,51.0,0.97,Happy/Excited
,32.0,,172.27,9.0,1.0,0.65,0.34,0.48,0.77,0.73,0.95,0.18,82.0,0.35,82.0,0.95,Happy/Excited
,47.0,,123.05,7.0,1.0,0.67,0.35,0.41,0.79,0.75,0.96,0.23,59.0,0.49,59.0,0.9,Happy/Excited
,78.0,,120.19,3.0,0.0,0.54,0.33,0.49,0.48,0.75,0.96,0.24,43.0,0.5,43.0,0.97,Relax/Chill
indie pop,70.0,305000.0,156.61,2.0,1.0,0.63,0.35,0.46,0.8,0.75,0.95,0.27,78.0,0.38,78.0,0.93,Happy/Excited
indie pop,66.0,238000.0,172.27,9.0,1.0,0.56,0.31,0.49,0.76,0.77,0.96,0.29,83.0,0.35,83.0,0.95,Happy/Excited
,54.0,,152.0,3.0,1.0,0.59,0.36,0.45,0.8,0.75,0.95,0.22,72.0,0.39,72.0,0.92,Relax/Chill
,46.0,,147.66,6.0,1.0,0.61,0.34,0.53,0.8,0.75,0.96,0.22,64.0,0.41,64.0,0.94,Happy/Excited
,47.0,,139.67,3.0,0.0,0.64,0.38,0.47,0.5,0.75,0.95,0.13,65.0,0.43,65.0,0.93,Happy/Excited
,57.0,,152.0,7.0,1.0,0.56,0.35,0.53,0.8,0.75,0.96,0.22,64.0,0.39,64.0,0.93,Happy/Excited
,47.0,,152.0,5.0,0.0,0.59,0.35,0.51,0.51,0.75,0.93,0.26,72.0,0.39,72.0,0.98,Relax/Chill
,42.0,,109.96,8.0,0.0,0.65,0.37,0.43,0.49,0.74,0.94,0.19,53.0,0.55,53.0,0.9,Happy/Excited
rock,76.0,237586.0,136.0,11.0,1.0,0.55,0.37,0.44,0.8,0.73,0.96,0.15,63.0,0.44,63.0,0.93,Relax/Chill
rock,60.0,277000.0,152.0,7.0,1.0,0.55,0.36,0.47,0.8,0.74,0.96,0.18,72.0,0.39,72.0,0.96,Relax/Chill
rock,71.0,248946.0,117.45,9.0,0.0,0.51,0.4,0.38,0.5,0.74,0.92,0.14,58.0,0.51,58.0,0.9,Relax/Chill
rock,60.0,282626.0,95.7,7.0,1.0,0.54,0.38,0.42,0.79,0.74,0.94,0.14,46.0,0.63,46.0,0.94,Happy/Excited
rock,56.0,234093.0,126.05,10.0,0.0,0.5,0.38,0.42,0.5,0.73,0.95,0.15,64.0,0.48,64.0,0.89,Happy/Excited
rock,58.0,251213.0,95.7,0.0,0.0,0.51,0.37,0.5,0.49,0.75,0.93,0.18,1.0,0.63,1.0,0.0,Happy/Excited
,46.0,,97.51,10.0,0.0,0.65,0.35,0.38,0.49,0.76,0.95,0.24,45.0,0.62,45.0,0.88,Relax/Chill
,54.0,,152.0,3.0,1.0,0.59,0.36,0.45,0.8,0.75,0.95,0.22,72.0,0.39,72.0,0.92,Happy/Excited
,46.0,,147.66,6.0,1.0,0.61,0.34,0.53,0.8,0.75,0.96,0.22,64.0,0.41,64.0,0.94,Happy/Excited
,47.0,,139.67,3.0,0.0,0.64,0.38,0.47,0.5,0.75,0.95,0.13,65.0,0.43,65.0,0.93,Happy/Excited
,57.0,,152.0,7.0,1.0,0.56,0.35,0.53,0.8,0.75,0.96,0.22,64.0,0.39,64.0,0.93,Happy/Excited
,47.0,,152.0,5.0,0.0,0.59,0.35,0.51,0.51,0.75,0.93,0.26,72.0,0.39,72.0,0.98,Relax/Chill
,42.0,,109.96,8.0,0.0,0.65,0.37,0.43,0.49,0.74,0.94,0.19,53.0,0.55,53.0,0.9,Happy/Excited
rock,76.0,237586.0,136.0,11.0,1.0,0.55,0.37,0.44,0.8,0.73,0.96,0.15,63.0,0.44,63.0,0.93,Happy/Excited
rock,60.0,277000.0,152.0,7.0,1.0,0.55,0.36,0.47,0.8,0.74,0.96,0.18,72.0,0.39,72.0,0.96,Relax/Chill
rock,71.0,248946.0,117.45,9.0,0.0,0.51,0.4,0.38,0.5,0.74,0.92,0.14,58.0,0.51,58.0,0.9,Happy/Excited
rock,60.0,282626.0,95.7,7.0,1.0,0.54,0.38,0.42,0.79,0.74,0.94,0.14,46.0,0.63,46.0,0.94,Relax/Chill
rock,56.0,234093.0,126.05,10.0,0.0,0.5,0.38,0.42,0.5,0.73,0.95,0.15,64.0,0.48,64.0,0.89,Happy/Excited
rock,58.0,251213.0,95.7,0.0,0.0,0.51,0.37,0.5,0.49,0.75,0.93,0.18,1.0,0.63,1.0,0.0,Happy/Excited
,46.0,,97.51,10.0,0.0,0.65,0.35,0.38,0.49,0.76,0.95,0.24,45.0,0.62,45.0,0.88,Happy/Excited
rock,58.0,251213.0,95.7,0.0,0.0,0.51,0.37,0.5,0.49,0.75,0.93,0.18,1.0,0.63,1.0,0.0,Happy/Excited
,46.0,,97.51,10.0,0.0,0.65,0.35,0.38,0.49,0.76,0.95,0.24,45.0,0.62,45.0,0.88,Happy/Excited
